DrugBank ID,Common name
Compound::DB00001,Lepirudin
Compound::DB00002,Cetuximab
Compound::DB00003,Dornase alfa
Compound::DB00004,Denileukin diftitox
Compound::DB00005,Etanercept
Compound::DB00006,Bivalirudin
Compound::DB00007,Leuprolide
Compound::DB00008,Peginterferon alfa-2a
Compound::DB00009,Alteplase
Compound::DB00010,Sermorelin
Compound::DB00011,Interferon alfa-n1
Compound::DB00012,Darbepoetin alfa
Compound::DB00013,Urokinase
Compound::DB00014,Goserelin
Compound::DB00015,Reteplase
Compound::DB00016,Erythropoietin
Compound::DB00017,Salmon calcitonin
Compound::DB00018,Interferon alfa-n3
Compound::DB00019,Pegfilgrastim
Compound::DB00020,Sargramostim
Compound::DB00022,Peginterferon alfa-2b
Compound::DB00023,Asparaginase Escherichia coli
Compound::DB00024,Thyrotropin alfa
Compound::DB00025,"Antihemophilic factor, human recombinant"
Compound::DB00026,Anakinra
Compound::DB00027,Gramicidin D
Compound::DB00028,Human immunoglobulin G
Compound::DB00029,Anistreplase
Compound::DB00030,Insulin human
Compound::DB00031,Tenecteplase
Compound::DB00032,Menotropins
Compound::DB00033,Interferon gamma-1b
Compound::DB00034,Interferon alfa-2a
Compound::DB00035,Desmopressin
Compound::DB00036,Coagulation factor VIIa Recombinant Human
Compound::DB00038,Oprelvekin
Compound::DB00039,Palifermin
Compound::DB00040,Glucagon
Compound::DB00041,Aldesleukin
Compound::DB00042,Botulinum toxin type B
Compound::DB00043,Omalizumab
Compound::DB00044,Lutropin alfa
Compound::DB00045,Lyme disease vaccine (recombinant OspA)
Compound::DB00046,Insulin lispro
Compound::DB00047,Insulin glargine
Compound::DB00048,Collagenase clostridium histolyticum
Compound::DB00049,Rasburicase
Compound::DB00050,Cetrorelix
Compound::DB00051,Adalimumab
Compound::DB00052,Somatotropin
Compound::DB00053,Imiglucerase
Compound::DB00054,Abciximab
Compound::DB00055,Drotrecogin alfa
Compound::DB00056,Gemtuzumab ozogamicin
Compound::DB00057,Indium In-111 satumomab pendetide
Compound::DB00058,Alpha-1-proteinase inhibitor
Compound::DB00059,Pegaspargase
Compound::DB00060,Interferon beta-1a
Compound::DB00061,Pegademase
Compound::DB00062,Albumin human
Compound::DB00063,Eptifibatide
Compound::DB00065,Infliximab
Compound::DB00066,Follitropin
Compound::DB00067,Vasopressin
Compound::DB00068,Interferon beta-1b
Compound::DB00069,Interferon alfacon-1
Compound::DB00070,Hyaluronidase (ovine)
Compound::DB00071,Insulin pork
Compound::DB00072,Trastuzumab
Compound::DB00073,Rituximab
Compound::DB00074,Basiliximab
Compound::DB00075,Muromonab
Compound::DB00076,Digoxin Immune Fab (Ovine)
Compound::DB00078,Ibritumomab tiuxetan
Compound::DB00080,Daptomycin
Compound::DB00081,Tositumomab
Compound::DB00082,Pegvisomant
Compound::DB00083,Botulinum toxin type A
Compound::DB00085,Pancrelipase
Compound::DB00086,Streptokinase
Compound::DB00087,Alemtuzumab
Compound::DB00088,Alglucerase
Compound::DB00089,Capromab pendetide
Compound::DB00090,Laronidase
Compound::DB00091,Cyclosporine
Compound::DB00092,Alefacept
Compound::DB00093,Felypressin
Compound::DB00094,Urofollitropin
Compound::DB00095,Efalizumab
Compound::DB00097,Choriogonadotropin alfa
Compound::DB00098,Antithymocyte immunoglobulin (rabbit)
Compound::DB00099,Filgrastim
Compound::DB00100,Coagulation Factor IX (Recombinant)
Compound::DB00102,Becaplermin
Compound::DB00103,Agalsidase beta
Compound::DB00104,Octreotide
Compound::DB00105,Interferon alfa-2b
Compound::DB00106,Abarelix
Compound::DB00107,Oxytocin
Compound::DB00108,Natalizumab
Compound::DB00109,Enfuvirtide
Compound::DB00110,Palivizumab
Compound::DB00111,Daclizumab
Compound::DB00112,Bevacizumab
Compound::DB00113,Technetium Tc-99m arcitumomab
Compound::DB00114,Pyridoxal phosphate
Compound::DB00115,Cyanocobalamin
Compound::DB00116,Tetrahydrofolic acid
Compound::DB00117,Histidine
Compound::DB00118,Ademetionine
Compound::DB00119,Pyruvic acid
Compound::DB00120,Phenylalanine
Compound::DB00121,Biotin
Compound::DB00122,Choline
Compound::DB00123,Lysine
Compound::DB00125,Arginine
Compound::DB00126,Ascorbic acid
Compound::DB00127,Spermine
Compound::DB00128,Aspartic acid
Compound::DB00129,Ornithine
Compound::DB00130,L-Glutamine
Compound::DB00131,Adenosine phosphate
Compound::DB00132,alpha-Linolenic acid
Compound::DB00133,Serine
Compound::DB00134,Methionine
Compound::DB00135,Tyrosine
