,name,id,FDA Approved
Gene::2157,F8,0,
Gene::5264,PHYH,1,
Gene::2158,F9,2,
Gene::3309,HSPA5,3,
Gene::811,CALR,5,
Gene::2159,F10,6,
Gene::821,CANX,7,
Gene::5627,PROS1,8,
Gene::5624,PROC,9,
Gene::2147,F2,10,
Gene::5141,PDE4A,11,
Gene::4067,LYN,12,
Gene::7316,UBC,13,
Gene::5207,PFKFB1,14,
Gene::5045,FURIN,15,
Gene::368,ABCC6,16,
Gene::4323,MMP14,17,
Gene::2316,FLNA,18,
Gene::23621,BACE1,19,
Gene::51172,NAGPA,20,
Gene::3359,HTR3A,21,
Gene::5104,SERPINA5,22,
Gene::6187,RPS2,23,
Gene::5566,PRKACA,24,
Gene::7412,VCAM1,25,
Gene::3845,KRAS,26,
Gene::3008,HIST1H1E,27,
Gene::7083,TK1,28,
Gene::6134,RPL10,29,
Gene::1445,CSK,30,
Gene::6195,RPS6KA1,31,
Gene::6124,RPL4,32,
Gene::2103,ESRRB,33,
Gene::7534,YWHAZ,34,
Gene::3383,ICAM1,35,
Gene::7157,TP53,36,
Gene::51121,RPL26L1,37,
Gene::1938,EEF2,38,
Gene::6194,RPS6,39,
Gene::2335,FN1,40,
Gene::1499,CTNNB1,41,
Gene::6143,RPL19,42,
Gene::6135,RPL11,43,
Gene::7283,TUBG1,44,
Gene::1915,EEF1A1,45,
Gene::4809,NHP2L1,46,
Gene::6222,RPS18,47,
Gene::5562,PRKAA1,48,
Gene::7919,DDX39B,49,
Gene::6147,RPL23A,50,
Gene::7381,UQCRB,51,
Gene::9349,RPL23,52,
Gene::3728,JUP,53,
Gene::292,SLC25A5,54,
Gene::1017,CDK2,55,
Gene::10399,GNB2L1,56,
Gene::23411,SIRT1,57,
Gene::6138,RPL15,58,
Gene::1026,CDKN1A,59,
Gene::9045,RPL14,60,
Gene::6202,RPS8,61,
Gene::4914,NTRK1,62,
Gene::6234,RPS28,63,
Gene::156,ADRBK1,64,
Gene::50,ACO2,65,
Gene::23521,RPL13A,66,
Gene::1025,CDK9,67,
Gene::6132,RPL8,68,
Gene::6207,RPS13,69,
Gene::2932,GSK3B,70,
Gene::5728,PTEN,71,
Gene::4724,NDUFS4,72,
Gene::6218,RPS17,73,
Gene::10196,PRMT3,74,
Gene::6203,RPS9,75,
Gene::7284,TUFM,76,
Gene::5501,PPP1CC,77,
Gene::708,C1QBP,78,
Gene::3725,JUN,79,
Gene::5567,PRKACB,80,
Gene::302,ANXA2,81,
Gene::3921,RPSA,82,
Gene::5538,PPT1,83,
Gene::1459,CSNK2A2,84,
Gene::1454,CSNK1E,85,
Gene::506,ATP5B,86,
Gene::2246,FGF1,87,
Gene::3326,HSP90AB1,88,
Gene::6122,RPL3,89,
Gene::10856,RUVBL2,90,
Gene::6193,RPS5,91,
Gene::140801,RPL10L,92,
Gene::11224,RPL35,93,
Gene::6141,RPL18,94,
Gene::291,SLC25A4,95,
Gene::2099,ESR1,96,
Gene::6223,RPS19,97,
Gene::4881,NPR1,98,
Gene::7295,TXN,99,
Gene::3061,HCRTR1,100,
Gene::4879,NPPB,101,
Gene::7322,UBE2D2,102,
Gene::4087,SMAD2,103,
Gene::6850,SYK,104,
Gene::2911,GRM1,105,
Gene::8841,HDAC3,106,
Gene::2885,GRB2,107,
Gene::2207,FCER1G,108,
Gene::203068,TUBB,109,
Gene::4233,MET,110,
Gene::351,APP,111,
Gene::54106,TLR9,112,
Gene::3066,HDAC2,113,
Gene::2185,PTK2B,114,
Gene::3689,ITGB2,115,
Gene::2205,FCER1A,116,
Gene::1439,CSF2RB,117,
Gene::2209,FCGR1A,118,
Gene::2064,ERBB2,119,
Gene::5295,PIK3R1,120,
Gene::367,AR,121,
Gene::5296,PIK3R2,122,
Gene::7099,TLR4,123,
Gene::5294,PIK3CG,124,
Gene::4137,MAPT,125,
Gene::3932,LCK,126,
Gene::1956,EGFR,127,
Gene::2322,FLT3,128,
Gene::9759,HDAC4,129,
Gene::7846,TUBA1A,130,
Gene::5595,MAPK3,131,
Gene::2534,FYN,132,
Gene::3716,JAK1,133,
Gene::3065,HDAC1,134,
Gene::9734,HDAC9,135,
Gene::2066,ERBB4,136,
Gene::2268,FGR,137,
Gene::695,BTK,138,
Gene::10013,HDAC6,139,
Gene::5578,PRKCA,140,
Gene::6714,SRC,141,
Gene::6622,SNCA,142,
Gene::3815,KIT,143,
Gene::3690,ITGB3,144,
Gene::6774,STAT3,145,
Gene::7132,TNFRSF1A,146,
Gene::7277,TUBA4A,147,
